user_id,name,age,email
1,Charlie,20,a@test.com
2,Bob,,
3,Charlie,30,
4,Charlie,20,
5,Alice,,b@test.com
6,Charlie,20,a@test.com
7,Charlie,25,dup@test.com
8,Bob,20,a@test.com
9,,,dup@test.com
10,Charlie,25,b@test.com
11,,,
12,Bob,20,dup@test.com
13,Charlie,20,a@test.com
14,Bob,20,dup@test.com
15,Alice,30,dup@test.com
16,Bob,25,
17,Charlie,25,a@test.com
18,,30,
19,Bob,30,
20,Alice,,dup@test.com
21,Charlie,30,
22,Alice,25,b@test.com
23,,20,
24,Bob,20,dup@test.com
25,,,b@test.com
26,Charlie,30,
27,Bob,25,b@test.com
28,Alice,20,dup@test.com
29,Alice,,a@test.com
30,Alice,30,a@test.com
31,Alice,30,b@test.com
32,Bob,30,a@test.com
33,,30,dup@test.com
34,,25,b@test.com
35,Charlie,30,b@test.com
6,Charlie,20,a@test.com
11,,,
